ID,PRICE
18510,503972.32409638166
18511,1464604.6557902694
18512,1182039.1398758888
18513,441005.9197423756
18514,146959.45790344477
18515,769975.6421163082
18516,873863.3367944956
18517,555283.1308611333
18518,440984.49878397584
18519,510247.78665083647
18520,585133.0169743896
18521,898892.3749834299
18522,868688.3526764214
18523,635299.5677541792
18524,506566.18464261293
18525,692456.2410388291
18526,1208648.5839354992
18527,589387.9364581108
18528,636181.7067561448
18529,475589.93523973227
18530,334853.4400879741
18531,529940.0462202728
18532,601614.8571546674
18533,892050.3431908488
18534,777913.6053760946
18535,1012099.224180609
18536,1170798.8031220436
18537,284259.66610866785
18538,-15842.046862453222
18539,1490358.1652468145
18540,424287.20458346605
18541,480433.8363213241
18542,1169919.0617234707
18543,352081.06577554345
18544,579483.95701316
18545,1330569.035124004
18546,1033533.6209579706
18547,901893.3853239119
18548,1393104.402208358
18549,542413.7453980148
18550,547475.8767294586
18551,668695.9414329827
18552,378419.0882638395
18553,355188.7561685443
18554,564017.4677269757
18555,626106.874789834
18556,519186.9571938515
18557,682997.0749215186
18558,1013361.2282420397
18559,902661.9311561286
18560,673772.0313181877
18561,700276.7813266218
18562,872110.6144162714
18563,559566.3719437122
18564,609429.5525458455
18565,631158.1440848708
18566,325062.64984458685
18567,989220.1574080288
18568,554549.0291535854
18569,962143.0864934921
18570,525962.0090903342
18571,1072855.0557213128
18572,674171.145682931
18573,455952.93908265233
18574,888933.7984547615
18575,243292.98889636993
18576,857746.2188682258
18577,417997.6283802688
18578,148978.16161110997
18579,1242926.530051142
18580,484931.2321510315
18581,576776.8608535528
18582,616067.3433778584
18583,379002.8323609531
18584,361785.79992830753
18585,629655.9024136364
18586,520157.8869253993
18587,901126.4979700446
18588,318674.22946590185
18589,99382.92485964298
18590,578665.8827931881
18591,585482.4985907078
18592,442766.19808366895
18593,429739.89572018385
18594,796578.4879753292
18595,1148477.5171032846
18596,498320.9994325936
18597,333524.6975571215
18598,678907.1948110461
18599,928602.1863984168
18600,304661.8861838877
18601,306257.9684275389
18602,329164.5193551779
18603,586186.7465409935
18604,1393064.846558243
18605,672379.6071370542
18606,456746.502499789
18607,1759136.5507067144
18608,-105973.52134263515
18609,894566.3689029515
18610,563609.3355306089
18611,1517180.0371145606
18612,511343.6097499728
18613,987556.0290469825
18614,775784.190272063
18615,316253.7480120361
18616,599773.0824030638
18617,434675.6724755466
18618,562534.7709958255
18619,240176.84904319048
18620,407717.0981054008
18621,646049.3432453871
18622,590886.93834126
18623,497342.5883604288
18624,669934.3524179757
18625,349910.3014885485
18626,501473.2031534314
18627,1185718.9460064769
18628,1173057.4924342632
18629,1420487.3107942343
18630,901211.7479860187
18631,623135.4041339755
18632,659228.0122697353
18633,424429.43825024366
18634,873699.9913026989
18635,683743.1821908653
18636,374638.67329892516
18637,1145476.7150559723
18638,399475.13551071286
18639,684142.7884634733
18640,801863.786735177
18641,428838.40684452653
18642,441868.21423247457
18643,473035.32309913635
18644,720017.3303250074
18645,670072.9294520319
18646,1069610.5163321197
18647,528273.0813046694
18648,704327.325740546
18649,527907.5210278332
18650,363750.7610659301
18651,385617.9637581706
18652,572241.1541205049
18653,525990.4427177012
18654,678774.566070199
18655,662876.6333384514
18656,777798.878164202
18657,649642.2211064994
18658,649243.7085151672
18659,585647.5353597701
18660,789658.328373462
18661,354193.7028592527
18662,313648.75028303266
18663,486513.68862199783
18664,644325.0718236864
18665,531530.5515815616
18666,274228.43097028136
18667,564889.4268649518
18668,522615.68934091926
18669,694457.9152337611
18670,718142.7484477162
18671,621324.542152524
18672,402207.81554555893
